tipo_persona_id,sexo_victima,Id_hecho
0.0,2,11535
1.0,2,11535
2.0,2,11535
13646.0,1,11535
3.0,2,11536
4.0,2,11536
13647.0,1,11536
5.0,2,11537
13648.0,1,11537
6.0,2,11538
14076.0,1,11538
7.0,2,11539
13649.0,1,11539
8.0,2,11540
13650.0,1,11540
9.0,2,11541
13651.0,1,11541
10.0,2,11542
13652.0,1,11542
11.0,2,11543
13653.0,0,11543
12.0,2,11544
13654.0,1,11544
13.0,2,11545
13655.0,0,11545
14.0,2,11546
13656.0,1,11546
13657.0,1,11546
15.0,2,11547
13658.0,1,11547
16.0,2,11548
13659.0,1,11548
17.0,2,11567
23450.0,0,11567
18.0,2,11568
13660.0,1,11568
19.0,2,11569
13661.0,1,11569
20.0,2,11570
13662.0,0,11570
21.0,2,11571
13663.0,0,11571
22.0,2,11572
13664.0,1,11572
385.0,2,11573
386.0,2,11573
387.0,2,11573
388.0,2,11573
13665.0,1,11573
389.0,2,11574
13666.0,1,11574
23.0,2,11575
13667.0,1,11575
24.0,2,11576
13668.0,0,11576
25.0,2,11577
13669.0,1,11577
383.0,2,11578
384.0,2,11578
13993.0,1,11578
26.0,2,11579
14046.0,0,11579
27.0,2,11580
13670.0,1,11580
28.0,2,11582
13671.0,1,11582
29.0,2,11584
13672.0,1,11584
30.0,2,11585
13673.0,1,11585
31.0,2,11586
13674.0,1,11586
32.0,2,11587
13675.0,1,11587
33.0,2,11588
13676.0,0,11588
34.0,2,11589
13677.0,0,11589
35.0,2,11590
13678.0,1,11590
36.0,2,11591
37.0,2,11591
13679.0,1,11591
38.0,2,11592
13680.0,1,11592
39.0,2,11593
13681.0,1,11593
40.0,2,11594
13682.0,1,11594
41.0,2,11595
13683.0,1,11595
42.0,2,11596
43.0,2,11596
44.0,2,11596
45.0,2,11596
13684.0,1,11596
46.0,2,11597
13685.0,0,11597
47.0,2,11598
13686.0,1,11598
48.0,2,11599
13687.0,1,11599
49.0,2,11600
13688.0,1,11600
50.0,2,11601
13689.0,1,11601
51.0,2,11602
13690.0,0,11602
52.0,2,11603
13691.0,1,11603
53.0,2,11604
13692.0,1,11604
54.0,2,11605
13693.0,1,11605
55.0,2,11606
13694.0,1,11606
56.0,2,11607
13695.0,1,11607
57.0,2,11608
13696.0,1,11608
58.0,2,11609
13697.0,1,11609
59.0,2,11610
13698.0,1,11610
60.0,2,11611
13699.0,1,11611
61.0,2,11612
13700.0,1,11612
62.0,2,11613
13701.0,1,11613
63.0,2,11614
13702.0,0,11614
64.0,2,11615
13703.0,1,11615
65.0,2,11616
13704.0,1,11616
9567.0,2,11617
13705.0,0,11617
66.0,2,11624
67.0,2,11624
68.0,2,11624
69.0,2,11624
70.0,2,11624
13706.0,1,11624
71.0,2,11625
13707.0,1,11625
72.0,2,11626
13708.0,1,11626
73.0,2,11627
13709.0,1,11627
74.0,2,11628
13710.0,1,11628
75.0,2,11629
13711.0,1,11629
76.0,2,11630
13712.0,0,11630
77.0,2,11631
13713.0,1,11631
78.0,2,11632
13714.0,1,11632
79.0,2,11633
13715.0,1,11633
80.0,2,11634
13716.0,1,11634
81.0,2,11635
13717.0,1,11635
82.0,2,11636
13718.0,1,11636
83.0,2,11637
13719.0,0,11637
84.0,2,11638
85.0,2,11638
86.0,2,11638
13720.0,1,11638
87.0,2,11639
13721.0,1,11639
9568.0,2,11654
13722.0,1,11654
13579.0,2,11655
13723.0,0,11655
9569.0,2,11656
13724.0,1,11656
88.0,2,11657
89.0,2,11657
13725.0,1,11657
90.0,2,11658
13726.0,0,11658
9570.0,2,11659
13727.0,1,11659
9571.0,2,11660
13728.0,1,11660
91.0,2,11661
13729.0,1,11661
92.0,2,11662
13730.0,1,11662
93.0,2,11663
13731.0,1,11663
94.0,2,11664
13732.0,1,11664
95.0,2,11665
13733.0,1,11665
96.0,2,11666
13734.0,1,11666
97.0,2,11667
13735.0,1,11667
98.0,2,11668
99.0,2,11668
13736.0,1,11668
13737.0,1,11668
100.0,2,11670
13738.0,1,11670
101.0,2,11671
13739.0,1,11671
102.0,2,11672
13740.0,1,11672
103.0,2,11673
13741.0,0,11673
104.0,2,11674
13742.0,1,11674
105.0,2,11675
13743.0,1,11675
106.0,2,11676
13744.0,1,11676
107.0,2,11677
13745.0,1,11677
108.0,2,11678
13746.0,0,11678
109.0,2,11679
13747.0,1,11679
110.0,2,11680
13748.0,1,11680
111.0,2,11685
13749.0,1,11685
112.0,2,11686
13750.0,1,11686
113.0,2,11687
114.0,2,11687
115.0,2,11687
13751.0,1,11687
116.0,2,11688
13752.0,1,11688
117.0,2,11689
13753.0,0,11689
118.0,2,11690
13754.0,1,11690
119.0,2,11691
120.0,2,11691
21092.0,0,11691
121.0,2,11692
13755.0,1,11692
122.0,2,11693
13756.0,1,11693
123.0,2,11694
13757.0,1,11694
124.0,2,11695
13758.0,1,11695
125.0,2,11696
13759.0,1,11696
126.0,2,11697
127.0,2,11697
13760.0,1,11697
128.0,2,11698
13761.0,1,11698
129.0,2,11699
13762.0,1,11699
130.0,2,11700
13763.0,1,11700
131.0,2,11701
13764.0,1,11701
132.0,2,11702
13765.0,1,11702
133.0,2,11703
13766.0,1,11703
13580.0,2,11704
13767.0,0,11704
134.0,2,11705
13768.0,0,11705
135.0,2,11706
13769.0,1,11706
136.0,2,11707
13770.0,1,11707
137.0,2,11708
13771.0,1,11708
138.0,2,11709
13772.0,0,11709
9572.0,2,11716
13773.0,1,11716
9573.0,2,11717
13774.0,1,11717
9574.0,2,11719
13775.0,1,11719
139.0,2,11720
13776.0,1,11720
140.0,2,11721
141.0,2,11721
13777.0,1,11721
9575.0,2,11722
13778.0,1,11722
142.0,2,11723
13779.0,1,11723
143.0,2,11724
13780.0,1,11724
144.0,2,11725
13781.0,1,11725
145.0,2,11726
21111.0,1,11726
146.0,2,11727
147.0,2,11727
13782.0,1,11727
148.0,2,11728
13783.0,1,11728
149.0,2,11729
13784.0,1,11729
150.0,2,11730
13785.0,1,11730
151.0,2,11731
152.0,2,11731
13786.0,1,11731
153.0,2,11732
13787.0,1,11732
154.0,2,11733
13788.0,1,11733
155.0,2,11734
13789.0,1,11734
13581.0,2,11735
13790.0,0,11735
156.0,2,11736
13791.0,1,11736
157.0,2,11747
13792.0,1,11747
158.0,2,11748
13793.0,1,11748
159.0,2,11749
160.0,2,11749
13794.0,1,11749
161.0,2,11750
13795.0,1,11750
162.0,2,11751
13796.0,1,11751
163.0,2,11752
13797.0,0,11752
164.0,2,11753
13798.0,1,11753
165.0,2,11754
13799.0,1,11754
166.0,2,11755
13800.0,1,11755
167.0,2,11756
13801.0,1,11756
168.0,2,11757
13802.0,1,11757
169.0,2,11758
13803.0,1,11758
170.0,2,11759
13804.0,1,11759
171.0,2,11760
13805.0,1,11760
172.0,2,11761
13806.0,1,11761
173.0,2,11762
174.0,2,11762
175.0,2,11762
176.0,2,11762
177.0,2,11762
13807.0,1,11762
178.0,2,11763
13808.0,1,11763
179.0,2,11764
13809.0,1,11764
180.0,2,11765
13810.0,1,11765
181.0,2,11766
13811.0,1,11766
182.0,2,11767
13812.0,1,11767
183.0,2,11768
13813.0,1,11768
184.0,2,11769
13814.0,1,11769
185.0,2,11770
13815.0,0,11770
186.0,2,11771
187.0,2,11771
