fecha_hecho,tipo_persona_id,localidad
298.0,0.0,Plottier
298.0,1.0,Plottier
298.0,2.0,Plottier
298.0,13646.0,Plottier
1632.0,3.0,Cutral Có
1632.0,4.0,Cutral Có
1632.0,13647.0,Cutral Có
1632.0,5.0,Neuquén
1632.0,13648.0,Neuquén
656.0,6.0,Barrancas
656.0,14076.0,Barrancas
1333.0,7.0,Neuquén
1333.0,13649.0,Neuquén
209.0,8.0,Las Ovejas
209.0,13650.0,Las Ovejas
502.0,9.0,Zapala 
502.0,13651.0,Zapala 
1657.0,10.0,Añelo
1657.0,13652.0,Añelo
144.0,11.0,Vista Alegre Norte
144.0,13653.0,Vista Alegre Norte
204.0,12.0,San Martín de los Andes 
204.0,13654.0,San Martín de los Andes 
1732.0,13.0,Piedra del Águila
1732.0,13655.0,Piedra del Águila
273.0,14.0,Cutral Có
273.0,13656.0,Cutral Có
273.0,13657.0,Cutral Có
796.0,15.0,Neuquén
796.0,13658.0,Neuquén
811.0,16.0,Neuquén
811.0,13659.0,Neuquén
865.0,17.0,Aluminé
865.0,23450.0,Aluminé
0.0,18.0,Salta
0.0,13660.0,Salta
1513.0,19.0,Salta
1513.0,13661.0,Salta
1513.0,20.0,Salta
1513.0,13662.0,Salta
1572.0,21.0,Tartagal
1572.0,13663.0,Tartagal
1692.0,22.0,Salta
1692.0,13664.0,Salta
1692.0,385.0,Colonia Santa Rosa
1692.0,386.0,Colonia Santa Rosa
1692.0,387.0,Colonia Santa Rosa
1692.0,388.0,Colonia Santa Rosa
1692.0,13665.0,Colonia Santa Rosa
298.0,389.0,Hipólito Yrigoyen (Est. Tabacal)
298.0,13666.0,Hipólito Yrigoyen (Est. Tabacal)
418.0,23.0,Tartagal
418.0,13667.0,Tartagal
776.0,24.0,Salta
776.0,13668.0,Salta
835.0,25.0,Tartagal
835.0,13669.0,Tartagal
1013.0,383.0,San Ramón de la Nueva Orán (Est. Orán)
1013.0,384.0,San Ramón de la Nueva Orán (Est. Orán)
1013.0,13993.0,San Ramón de la Nueva Orán (Est. Orán)
1130.0,26.0,Vaqueros
