tipo_persona_id,motivo_origen_registro,Id_hecho
0.0,Intervención policial,11535
1.0,Intervención policial,11535
2.0,Intervención policial,11535
13646.0,Intervención policial,11535
3.0,Intervención policial,11536
4.0,Intervención policial,11536
13647.0,Intervención policial,11536
5.0,Intervención policial,11537
13648.0,Intervención policial,11537
6.0,Intervención policial,11538
14076.0,Intervención policial,11538
7.0,Intervención policial,11539
13649.0,Intervención policial,11539
8.0,Denuncia particular,11540
13650.0,Denuncia particular,11540
9.0,Intervención policial,11541
13651.0,Intervención policial,11541
10.0,Intervención policial,11542
13652.0,Intervención policial,11542
11.0,Intervención policial,11543
13653.0,Intervención policial,11543
12.0,Denuncia particular,11544
13654.0,Denuncia particular,11544
13.0,Intervención policial,11545
13655.0,Intervención policial,11545
14.0,Intervención policial,11546
13656.0,Intervención policial,11546
13657.0,Intervención policial,11546
15.0,Intervención policial,11547
13658.0,Intervención policial,11547
16.0,Intervención policial,11548
13659.0,Intervención policial,11548
17.0,Intervención policial,11567
23450.0,Intervención policial,11567
18.0,Denuncia particular,11568
13660.0,Denuncia particular,11568
19.0,Denuncia particular,11569
13661.0,Denuncia particular,11569
20.0,Denuncia particular,11570
13662.0,Denuncia particular,11570
21.0,Intervención policial,11571
13663.0,Intervención policial,11571
22.0,Denuncia particular,11572
13664.0,Denuncia particular,11572
385.0,Denuncia particular,11573
386.0,Denuncia particular,11573
387.0,Denuncia particular,11573
388.0,Denuncia particular,11573
13665.0,Denuncia particular,11573
389.0,Denuncia particular,11574
13666.0,Denuncia particular,11574
23.0,Denuncia particular,11575
13667.0,Denuncia particular,11575
24.0,Denuncia particular,11576
13668.0,Denuncia particular,11576
25.0,Denuncia particular,11577
13669.0,Denuncia particular,11577
383.0,Denuncia particular,11578
384.0,Denuncia particular,11578
13993.0,Denuncia particular,11578
26.0,Denuncia particular,11579
14046.0,Denuncia particular,11579
27.0,Denuncia particular,11580
13670.0,Denuncia particular,11580
28.0,Intervención policial,11582
13671.0,Intervención policial,11582
29.0,Denuncia particular,11584
13672.0,Denuncia particular,11584
30.0,Intervención policial,11585
13673.0,Intervención policial,11585
31.0,Intervención policial,11586
13674.0,Intervención policial,11586
32.0,Denuncia particular,11587
13675.0,Denuncia particular,11587
33.0,Denuncia particular,11588
13676.0,Denuncia particular,11588
34.0,Intervención policial,11589
13677.0,Intervención policial,11589
35.0,Intervención policial,11590
13678.0,Intervención policial,11590
36.0,Intervención policial,11591
37.0,Intervención policial,11591
13679.0,Intervención policial,11591
38.0,Intervención policial,11592
13680.0,Intervención policial,11592
39.0,Intervención policial,11593
13681.0,Intervención policial,11593
40.0,Intervención policial,11594
13682.0,Intervención policial,11594
41.0,Intervención policial,11595
13683.0,Intervención policial,11595
42.0,Intervención policial,11596
43.0,Intervención policial,11596
44.0,Intervención policial,11596
45.0,Intervención policial,11596
13684.0,Intervención policial,11596
46.0,Intervención policial,11597
13685.0,Intervención policial,11597
47.0,Intervención policial,11598
13686.0,Intervención policial,11598
48.0,Intervención policial,11599
13687.0,Intervención policial,11599
49.0,Intervención policial,11600
13688.0,Intervención policial,11600
50.0,Intervención policial,11601
13689.0,Intervención policial,11601
51.0,Intervención policial,11602
13690.0,Intervención policial,11602
52.0,Intervención policial,11603
13691.0,Intervención policial,11603
53.0,Intervención policial,11604
13692.0,Intervención policial,11604
54.0,Intervención policial,11605
13693.0,Intervención policial,11605
55.0,Intervención policial,11606
13694.0,Intervención policial,11606
56.0,Intervención policial,11607
13695.0,Intervención policial,11607
57.0,Intervención policial,11608
13696.0,Intervención policial,11608
58.0,Intervención policial,11609
13697.0,Intervención policial,11609
59.0,Intervención policial,11610
13698.0,Intervención policial,11610
60.0,Intervención policial,11611
13699.0,Intervención policial,11611
61.0,Intervención policial,11612
13700.0,Intervención policial,11612
62.0,Intervención policial,11613
13701.0,Intervención policial,11613
63.0,Intervención policial,11614
13702.0,Intervención policial,11614
64.0,Intervención policial,11615
13703.0,Intervención policial,11615
65.0,Intervención policial,11616
13704.0,Intervención policial,11616
9567.0,Intervención policial,11617
13705.0,Intervención policial,11617
66.0,Intervención policial,11624
67.0,Intervención policial,11624
68.0,Intervención policial,11624
69.0,Intervención policial,11624
70.0,Intervención policial,11624
13706.0,Intervención policial,11624
71.0,Intervención policial,11625
13707.0,Intervención policial,11625
72.0,Intervención policial,11626
13708.0,Intervención policial,11626
73.0,Intervención policial,11627
13709.0,Intervención policial,11627
74.0,Intervención policial,11628
13710.0,Intervención policial,11628
75.0,Intervención policial,11629
13711.0,Intervención policial,11629
76.0,Intervención policial,11630
13712.0,Intervención policial,11630
77.0,Intervención policial,11631
13713.0,Intervención policial,11631
78.0,Intervención policial,11632
13714.0,Intervención policial,11632
79.0,Intervención policial,11633
13715.0,Intervención policial,11633
80.0,Intervención policial,11634
13716.0,Intervención policial,11634
81.0,Intervención policial,11635
13717.0,Intervención policial,11635
82.0,Intervención policial,11636
13718.0,Intervención policial,11636
83.0,Intervención policial,11637
13719.0,Intervención policial,11637
84.0,Intervención policial,11638
85.0,Intervención policial,11638
86.0,Intervención policial,11638
13720.0,Intervención policial,11638
87.0,Intervención policial,11639
13721.0,Intervención policial,11639
9568.0,Denuncia particular,11654
13722.0,Denuncia particular,11654
13579.0,Denuncia particular,11655
13723.0,Denuncia particular,11655
9569.0,Denuncia particular,11656
13724.0,Denuncia particular,11656
88.0,Denuncia particular,11657
89.0,Denuncia particular,11657
13725.0,Denuncia particular,11657
90.0,Denuncia particular,11658
13726.0,Denuncia particular,11658
9570.0,Denuncia particular,11659
13727.0,Denuncia particular,11659
9571.0,Denuncia particular,11660
13728.0,Denuncia particular,11660
