tipo_persona_id,tipo_lugar,sexo_victima
0.0,Domicilio particular,
1.0,Domicilio particular,
2.0,Domicilio particular,
13646.0,Domicilio particular,
3.0,Vía pública,
4.0,Vía pública,
13647.0,Vía pública,
5.0,Vía pública,
13648.0,Vía pública,
6.0,Domicilio particular,
14076.0,Domicilio particular,
7.0,Vía pública,
13649.0,Vía pública,
8.0,Domicilio particular,
13650.0,Domicilio particular,
9.0,Vía pública,
13651.0,Vía pública,
10.0,Domicilio particular,
13652.0,Domicilio particular,
11.0,Domicilio particular,
13653.0,Domicilio particular,
12.0,Otro lugar,
13654.0,Otro lugar,
13.0,Domicilio particular,
13655.0,Domicilio particular,
14.0,Domicilio particular,
13656.0,Domicilio particular,
13657.0,Domicilio particular,
15.0,Vía pública,
13658.0,Vía pública,
16.0,Vía pública,
13659.0,Vía pública,
17.0,Domicilio particular,
23450.0,Domicilio particular,
18.0,Domicilio particular,
13660.0,Domicilio particular,
19.0,Comercio,
13661.0,Comercio,
20.0,Carcel o comisaría,
13662.0,Carcel o comisaría,
21.0,Vía pública,
13663.0,Vía pública,
22.0,Vía pública,
13664.0,Vía pública,
385.0,Vía pública,
386.0,Vía pública,
387.0,Vía pública,
388.0,Vía pública,
13665.0,Vía pública,
389.0,Vía pública,
13666.0,Vía pública,
23.0,Vía pública,
13667.0,Vía pública,
24.0,Domicilio particular,
13668.0,Domicilio particular,
25.0,Domicilio particular,
13669.0,Domicilio particular,
383.0,Vía pública,
384.0,Vía pública,
13993.0,Vía pública,
26.0,Domicilio particular,
14046.0,Domicilio particular,
27.0,Vía pública,
13670.0,Vía pública,
28.0,Carcel o comisaría,
13671.0,Carcel o comisaría,
29.0,Domicilio particular,
13672.0,Domicilio particular,
30.0,Vía pública,
13673.0,Vía pública,
31.0,Vía pública,
13674.0,Vía pública,
32.0,Domicilio particular,
13675.0,Domicilio particular,
33.0,Domicilio particular,
13676.0,Domicilio particular,
34.0,Vía pública,
13677.0,Vía pública,
35.0,Vía pública,
13678.0,Vía pública,
36.0,Vía pública,
37.0,Vía pública,
13679.0,Vía pública,
38.0,Vía pública,
13680.0,Vía pública,
39.0,Vía pública,
13681.0,Vía pública,
40.0,Vía pública,
13682.0,Vía pública,
41.0,Otro lugar,
13683.0,Otro lugar,
42.0,Domicilio particular,
43.0,Domicilio particular,
44.0,Domicilio particular,
45.0,Domicilio particular,
13684.0,Domicilio particular,
46.0,Domicilio particular,
13685.0,Domicilio particular,
47.0,Vía pública,
