tipo_persona_id,tipo_lugar,sexo_inculpado,Id_hecho
0.0,2.0,,11535
1.0,2.0,,11535
2.0,2.0,,11535
13646.0,2.0,,11535
3.0,6.0,,11536
4.0,6.0,,11536
13647.0,6.0,,11536
5.0,6.0,,11537
13648.0,6.0,,11537
6.0,2.0,,11538
14076.0,2.0,,11538
7.0,6.0,,11539
13649.0,6.0,,11539
8.0,2.0,,11540
13650.0,2.0,,11540
9.0,6.0,,11541
13651.0,6.0,,11541
10.0,2.0,,11542
13652.0,2.0,,11542
11.0,2.0,,11543
13653.0,2.0,,11543
12.0,4.0,,11544
13654.0,4.0,,11544
13.0,2.0,,11545
13655.0,2.0,,11545
14.0,2.0,,11546
13656.0,2.0,,11546
13657.0,2.0,,11546
15.0,6.0,,11547
13658.0,6.0,,11547
16.0,6.0,,11548
13659.0,6.0,,11548
17.0,2.0,,11567
23450.0,2.0,,11567
18.0,2.0,,11568
13660.0,2.0,,11568
19.0,1.0,,11569
13661.0,1.0,,11569
20.0,0.0,,11570
13662.0,0.0,,11570
21.0,6.0,,11571
13663.0,6.0,,11571
22.0,6.0,,11572
13664.0,6.0,,11572
385.0,6.0,,11573
386.0,6.0,,11573
387.0,6.0,,11573
388.0,6.0,,11573
13665.0,6.0,,11573
389.0,6.0,,11574
13666.0,6.0,,11574
23.0,6.0,,11575
13667.0,6.0,,11575
24.0,2.0,,11576
13668.0,2.0,,11576
25.0,2.0,,11577
13669.0,2.0,,11577
383.0,6.0,,11578
384.0,6.0,,11578
13993.0,6.0,,11578
26.0,2.0,,11579
14046.0,2.0,,11579
27.0,6.0,,11580
13670.0,6.0,,11580
28.0,0.0,,11582
13671.0,0.0,,11582
29.0,2.0,,11584
13672.0,2.0,,11584
30.0,6.0,,11585
13673.0,6.0,,11585
31.0,6.0,,11586
13674.0,6.0,,11586
32.0,2.0,,11587
13675.0,2.0,,11587
33.0,2.0,,11588
13676.0,2.0,,11588
34.0,6.0,,11589
13677.0,6.0,,11589
35.0,6.0,,11590
13678.0,6.0,,11590
36.0,6.0,,11591
37.0,6.0,,11591
13679.0,6.0,,11591
38.0,6.0,,11592
13680.0,6.0,,11592
39.0,6.0,,11593
13681.0,6.0,,11593
40.0,6.0,,11594
13682.0,6.0,,11594
41.0,4.0,,11595
13683.0,4.0,,11595
42.0,2.0,,11596
43.0,2.0,,11596
44.0,2.0,,11596
45.0,2.0,,11596
13684.0,2.0,,11596
46.0,2.0,,11597
13685.0,2.0,,11597
47.0,6.0,,11598
13686.0,6.0,,11598
48.0,6.0,,11599
13687.0,6.0,,11599
49.0,2.0,,11600
13688.0,2.0,,11600
50.0,6.0,,11601
13689.0,6.0,,11601
51.0,6.0,,11602
13690.0,6.0,,11602
52.0,6.0,,11603
13691.0,6.0,,11603
53.0,6.0,,11604
13692.0,6.0,,11604
54.0,6.0,,11605
13693.0,6.0,,11605
55.0,2.0,,11606
13694.0,2.0,,11606
56.0,2.0,,11607
13695.0,2.0,,11607
57.0,6.0,,11608
13696.0,6.0,,11608
58.0,6.0,,11609
13697.0,6.0,,11609
59.0,6.0,,11610
13698.0,6.0,,11610
60.0,6.0,,11611
13699.0,6.0,,11611
61.0,6.0,,11612
13700.0,6.0,,11612
62.0,6.0,,11613
13701.0,6.0,,11613
63.0,2.0,,11614
13702.0,2.0,,11614
64.0,6.0,,11615
13703.0,6.0,,11615
65.0,6.0,,11616
